#time(s),GeodLatitude(degs),GeodLongitude(degs),GeodAltitude(m),alpha deg,beta(pitch)  deg,gamma(roll) deg
31.2,29.99897148,-40.18759378,17919.14794,106.9969427,66.14742687,-1.698926351
31.3,29.99896649,-40.18854737,17974.02327,107.2914071,66.10736132,-1.377412891
31.4,29.99896148,-40.18950398,18029.09025,107.5879666,66.06608779,-1.053375102
31.5,29.99895646,-40.19046365,18084.34724,107.8866972,66.02375312,-0.727006861
31.6,29.99895142,-40.19142641,18139.7926,108.187281,65.98036258,-0.398350256
31.7,29.99894636,-40.19239227,18195.42468,108.4897827,65.93564048,-0.067586579
31.8,29.99894129,-40.19336126,18251.24179,108.7942384,65.88987429,0.265376217
31.9,29.9989362,-40.19433341,18307.24226,109.1003719,65.84292957,0.600354554
32,29.99893109,-40.19530873,18363.42436,109.4081981,65.79467298,0.93743876
32.1,29.99892597,-40.19628727,18419.78646,109.7176153,65.74539079,1.276313776
32.2,29.99892083,-40.19726903,18476.32695,110.0283808,65.69481044,1.616786198
32.3,29.99891567,-40.19825405,18533.04425,110.3404685,65.64293947,1.958809971
32.4,29.9989105,-40.19924234,18589.93674,110.6538204,65.58992422,2.302490898
32.5,29.99890531,-40.20023393,18647.00279,110.9685644,65.53577162,2.647650666
32.6,29.9989001,-40.20122885,18704.24077,111.284297,65.48021258,2.994219376
32.7,29.99889487,-40.20222712,18761.64901,111.6012297,65.42353153,3.342184247
32.8,29.99888962,-40.20322876,18819.22592,111.9190759,65.36559821,3.691213956
32.9,29.99888436,-40.2042338,18876.96992,112.2375443,65.30628369,4.041385596
33,29.99887907,-40.20524226,18934.87947,112.5570051,65.24587088,4.392563212
33.1,29.99887377,-40.20625415,18992.95296,112.8770456,65.18409419,4.744665545
33.2,29.99886845,-40.20726951,19051.18881,113.1977914,65.12096309,5.097651064
33.3,29.9988631,-40.20828836,19109.58541,113.5190518,65.05662298,5.45137071
